"Huishoudens; samenstelling, grootte, regio, 1 januari"
""
"";"";"";"Onderwerp"
"";"";"";"Particuliere huishoudens: samenstelling|Totaal particuliere huishoudens";"Particuliere huishoudens: samenstelling|Eenpersoonshuishouden";"Particuliere huishoudens: samenstelling|Meerpersoonshuishouden|Totaal meerpersoonshuishoudens";"Particuliere huishoudens: samenstelling|Meerpersoonshuishouden|Niet-gehuwd paar|Totaal niet-gehuwde paren";"Particuliere huishoudens: samenstelling|Meerpersoonshuishouden|Gehuwd paar|Totaal gehuwde paren";"Particuliere huishoudens: samenstelling|Meerpersoonshuishouden|Eenouderhuishouden|Totaal eenouderhuishoudens";"Particuliere huishoudens: grootte|Meerpersoonshuishouden|2 personen";"Particuliere huishoudens: grootte|Meerpersoonshuishouden|3 personen";"Particuliere huishoudens: grootte|Meerpersoonshuishouden|4 personen";"Particuliere huishoudens: grootte|Meerpersoonshuishouden|5 of meer personen"
"Regio's";"Leeftijd referentiepersoon";"Perioden";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Groot-Amsterdam (CR)";"Totaal";"2000";"586159";"279317";"306842";"64425";"190288";"45999";"164409";"64313";"54716";"23404"
"Groot-Amsterdam (CR)";"Totaal";"2005";"604331";"287310";"317021";"68802";"190824";"50949";"165212";"67702";"59249";"24858"
"Groot-Amsterdam (CR)";"Totaal";"2010";"630574";"302131";"328443";"77347";"190010";"53503";"170609";"69604";"62702";"25528"
"Groot-Amsterdam (CR)";"Totaal";"2015";"665002";"321357";"343645";"90267";"190298";"56800";"180271";"71643";"65026";"26705"
"Groot-Amsterdam (CR)";"Totaal";"2020";"704559";"338491";"366068";"103322";"197825";"59101";"194750";"75792";"67088";"28438"
"Groot-Amsterdam (CR)";"15 tot 20 jaar";"2000";"5626";"4477";"1149";"538";"19";"170";"784";"255";"80";"30"
"Groot-Amsterdam (CR)";"15 tot 20 jaar";"2005";"6456";"5211";"1245";"620";"17";"167";"846";"292";"74";"33"
"Groot-Amsterdam (CR)";"15 tot 20 jaar";"2010";"6838";"5546";"1292";"600";"7";"154";"817";"353";"94";"28"
"Groot-Amsterdam (CR)";"15 tot 20 jaar";"2015";"6041";"5551";"490";"313";"2";"54";"418";"59";"9";"4"
"Groot-Amsterdam (CR)";"15 tot 20 jaar";"2020";"5753";"5296";"457";"305";"2";"41";"406";"41";"5";"5"
"Groot-Amsterdam (CR)";"20 tot 25 jaar";"2000";"31785";"23605";"8180";"4512";"973";"1238";"6221";"1431";"345";"183"
"Groot-Amsterdam (CR)";"20 tot 25 jaar";"2005";"31658";"23752";"7906";"4091";"914";"1315";"5798";"1567";"350";"191"
"Groot-Amsterdam (CR)";"20 tot 25 jaar";"2010";"39078";"30224";"8854";"5048";"594";"1229";"6640";"1694";"378";"142"
"Groot-Amsterdam (CR)";"20 tot 25 jaar";"2015";"43747";"36354";"7393";"4928";"387";"808";"6228";"894";"156";"115"
"Groot-Amsterdam (CR)";"20 tot 25 jaar";"2020";"40724";"34444";"6280";"4770";"272";"535";"5519";"574";"116";"71"
"Groot-Amsterdam (CR)";"25 tot 30 jaar";"2000";"64511";"38690";"25821";"14194";"6872";"3294";"18412";"4897";"1915";"597"
"Groot-Amsterdam (CR)";"25 tot 30 jaar";"2005";"53243";"32761";"20482";"11077";"5156";"2847";"14333";"4132";"1483";"534"
"Groot-Amsterdam (CR)";"25 tot 30 jaar";"2010";"56893";"35063";"21830";"12676";"4445";"2843";"15725";"4189";"1443";"473"
"Groot-Amsterdam (CR)";"25 tot 30 jaar";"2015";"64150";"40759";"23391";"14946";"3967";"2574";"17910";"3701";"1282";"498"
"Groot-Amsterdam (CR)";"25 tot 30 jaar";"2020";"73854";"47661";"26193";"18425";"3977";"2033";"21575";"3163";"1036";"419"
"Groot-Amsterdam (CR)";"30 tot 35 jaar";"2000";"75298";"36366";"38932";"14290";"17921";"5865";"19337";"10517";"6777";"2301"
"Groot-Amsterdam (CR)";"30 tot 35 jaar";"2005";"69682";"33827";"35855";"14805";"14706";"5421";"17816";"10003";"6134";"1902"
"Groot-Amsterdam (CR)";"30 tot 35 jaar";"2010";"60789";"29426";"31363";"13864";"12042";"4452";"16016";"8365";"5356";"1626"
"Groot-Amsterdam (CR)";"30 tot 35 jaar";"2015";"64312";"30154";"34158";"16601";"11782";"4622";"18234";"8961";"5400";"1563"
"Groot-Amsterdam (CR)";"30 tot 35 jaar";"2020";"73370";"33764";"39606";"20632";"13630";"4164";"23908";"9231";"4822";"1645"
"Groot-Amsterdam (CR)";"35 tot 40 jaar";"2000";"72093";"28803";"43290";"10211";"24239";"8360";"14171";"10959";"12746";"5414"
"Groot-Amsterdam (CR)";"35 tot 40 jaar";"2005";"71436";"28588";"42848";"11911";"22213";"8160";"14123";"11351";"12454";"4920"
"Groot-Amsterdam (CR)";"35 tot 40 jaar";"2010";"65116";"25625";"39491";"12609";"19109";"7185";"12735";"10519";"11738";"4499"
"Groot-Amsterdam (CR)";"35 tot 40 jaar";"2015";"58513";"22684";"35829";"12548";"16430";"6311";"11503";"9534";"10856";"3936"
"Groot-Amsterdam (CR)";"35 tot 40 jaar";"2020";"62472";"23237";"39235";"13892";"18256";"6482";"13559";"10698";"10832";"4146"
"Groot-Amsterdam (CR)";"40 tot 45 jaar";"2000";"61022";"22331";"38691";"6759";"23113";"8517";"11228";"8696";"12699";"6068"
"Groot-Amsterdam (CR)";"40 tot 45 jaar";"2005";"69039";"24877";"44162";"8795";"25054";"9962";"12536";"10216";"14592";"6818"
"Groot-Amsterdam (CR)";"40 tot 45 jaar";"2010";"66849";"23816";"43033";"10226";"22953";"9460";"12007";"10172";"14343";"6511"
"Groot-Amsterdam (CR)";"40 tot 45 jaar";"2015";"62818";"21780";"41038";"11173";"20479";"9108";"11264";"9678";"13955";"6141"
"Groot-Amsterdam (CR)";"40 tot 45 jaar";"2020";"55802";"18712";"37090";"10191";"18507";"8068";"9968";"8817";"12620";"5685"
"Groot-Amsterdam (CR)";"45 tot 50 jaar";"2000";"53822";"19716";"34106";"4665";"22049";"7172";"11096";"8000";"10360";"4650"
"Groot-Amsterdam (CR)";"45 tot 50 jaar";"2005";"59620";"21607";"38013";"6126";"22601";"9002";"12026";"8901";"11689";"5397"
"Groot-Amsterdam (CR)";"45 tot 50 jaar";"2010";"66213";"23439";"42774";"7786";"24299";"10371";"13101";"9976";"13496";"6201"
"Groot-Amsterdam (CR)";"45 tot 50 jaar";"2015";"64920";"22470";"42450";"9287";"22601";"10368";"12518";"10058";"13509";"6365"
"Groot-Amsterdam (CR)";"45 tot 50 jaar";"2020";"61062";"20151";"40911";"9623";"20865";"10201";"11446";"9578";"13562";"6325"
